name,industry,fullname,sector
AGA,Mining,AngloGold Ashanti Limited,Basic Materials
ETI,Banking,Ecobank Transnational Incorporated,Financials
GOIL,Oil Equipment & Services,Ghana Oil Company Limited,Oil & Gas
TLW,Oil Equipment & Services,Tullow Oil Plc,Oil & Gas
TOTAL,Oil Equipment & Services,Total Petroleum Ghana Limited,Oil & Gas
CPC,Food Production,Cocoa Processing Company Limited,Consumer Goods
ADB,Banking,Agricultural Development Bank,Financials
HORDS,Food Production,Hords Limited,Consumer Goods
EGH,Banking,Ecobank Ghana Limited,Financials
ACCESS,Banking,Access Bank Ghana Plc,Financials
TBL,Banking,Trust Bank (Gambia) Limited,Financials
PZC,Food Production,PZ Cussons Ghana Limited,Consumer Goods
ALW,Mining,Aluworks Limited,Industrials
MAC,Financial Services,Mega African Capital Limited,Financials
MTNGH,Mobile Telecommunications,Scancom Plc,Telecommunications
SAMBA,Food Production,Samba Foods Limited,Consumer Goods
GCB,Banking,GCB Bank Limited,Financials
SIC,Insurance,SIC Insurance Company Limited,Financials
SCBPREF,Banking,Stanchart Preferential Shares,Financials
SOGEGH,Banking,Societe Generale Ghana Limited,Financials
GGBL,Food Production,Guinness Ghana Breweries Limited,Consumer Goods
CMLT,Support Services,Camelot Ghana Limited,Industrials
CLYD,Software & Computer Services,Clydestone Ghana Limited,Technology
GLD,Mining,NewGold Issuer Limited,Basic Materials
PBC,Food Production,Produce Buying Company Limited,Consumer Goods
SWL,Food Production,Sam Woode Limited,Consumer Services
BOPP,Food Production,Benso Oil Palm Plantation Limited,Consumer Goods
DIGICUT,Advertising,Digicut Production and Advertising Limited,Consumer Services
MLC,Food Production,Mechanical Lloyd Company Limited,Consumer Goods
EGL,Insurance,Enterprise Group Limited,Financials
IIL,Pharmaceuticals,Intravenous Infusions Limited,Health Care
SCB,Banking,Standard Chartered Bank (Ghana) Limited,Financials
CAL,Banking,CAL Bank Limited,Financials
UNIL,Food Production,Unilever Ghana Limited,Consumer Goods
AADS,Mining,AngloGold Ashanti Depositary Shares,Basic Materials
GSR,Mining,Golden Star Resources Limited,Basic Materials
FML,Food Production,Fan Milk Limited,Consumer Goods
DASPHARMA,Pharmaceuticals,Dannex Ayrton Starwin Plc,Health Care
MMH,Food Production,Meridian-Marshall Holdings,Consumer Services
RBGH,Banking,Republic Bank Ghana Limited,Financials
AYRTN,Pharmaceuticals,Ayrton Drugs Manufacturing Co. Ltd,Health Care
SPL,Pharmaceuticals,Starwin Products Ltd,Health Care
